_uf;_label;_level;inform_1safra;qtde_1safra;area_ha_1safra;inform_2safra;qtde_2safra;area_ha_2safra;confianca
AL;MARECHAL DEODORO;municipio;;;;;;;alta
AL;RIO LARGO;municipio;;;;;;;alta
AL;TOTAIS;total;7678.0;;2658.0;;832.0;;alta
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;1388.0;;1776.0;;394.0;;alta
AL;SERTÃO ALAGOANO;microrregiao;157.0;;11.0;;;;alta
AL;AGUA BRANCA;municipio;81.0;;;;;;alta
AL;CANAPI;municipio;;;10.0;;;;alta
AL;OELMIRO GOUVEIA;municipio;;;;;;;alta
AL;MATA GRANDE;municipio;75.0;;;;;;alta
AL;BATALHA;microrregiao;10.0;;18.0;;;;alta
AL;CARNEIROS;municipio;;;;;;;alta
AL;DOIS RIACHOS;municipio;;;;;;;alta
AL;MARAVILHA;municipio;;;;;;;alta
AL;PALESTINA;municipio;;;;;;;alta
AL;POÇO DAS TRINCHEIRAS;municipio;;;;;;;alta
AL;SANTANA;municipio;;;15.0;;;;alta
AL;SÃO JOSE DA TAPERA;municipio;;;;;;;alta
AL;SENADOR RUI PALMEIRA;municipio;;;;;;;alta
AL;PALMEIRA DOS INDIOS;microrregiao;86.0;;1516.0;;1212.0;;alta
AL;CACJMBINHAS;municipio;;;;;10.0;;alta
AL;IGACI;municipio;;;91.0;;88.0;;alta
AL;MARIBONDO;municipio;51.0;;;;;;alta
AL;MAR VERMELHO;municipio;;;92.0;;77.0;;alta
AL;PALMEIRA DOS JNDIOS;municipio;;;748.0;;590.0;;alta
AL;PAULO .JACINTO;municipio;;;444.0;;296.0;;alta
AL;OUEBRANGULO;municipio;;;52.0;;96.0;;alta
AL;TANQUE;municipio;17.0;;83.0;;52.0;;alta
AL;ARAPIRACA;microrregiao;902.0;;151.0;;109.0;;alta
AL;ANADIA;municipio;678771.0;8147.0;;;;;alta
AL;ARAPIRACA;municipio;2.0;;14.0;;15.0;;alta
AL;COITE DO NOIA;municipio;;;23.0;;14.0;;alta
AL;FEIRA GRANDE;municipio;;;;;;;alta
AL;GIRAU DO PONCIANO;municipio;;;;;;;alta
AL;JUNQUEÍRO;municipio;532.0;;;;;;alta
AL;LIMOEIRO DE ANADIA;municipio;120.0;;21.0;;24.0;;alta
AL;OLHO D' AGUA GRANDE;municipio;;;10.0;;;;alta
AL;SÃO SEBASTIÃO;municipio;;;;;;;alta
AL;TAQUARANA;municipio;38.0;;36.0;;21.0;;alta
AL;TRAIPU;municipio;;;;;;;alta
AL;PENEDO;microrregiao;233.0;;80.0;;56.0;;alta
AL;FELIZ DESERTO;municipio;31.0;;;;;;alta
AL;IGREJA NOVA;municipio;19.0;;;;;;alta
AL;PENEDO;municipio;173.0;;;;;;alta
AL;PORTO REAL DO COLEGIO;municipio;10.0;;79.0;;56.0;;alta
AL;MATA ALAGOANA;mesorregiao;5880.0;;878.0;;437.0;;alta
AL;MATA ALAGOANA;microrregiao;3739.0;;877.0;;436.0;;alta
AL;ATALAIA;municipio;451.0;;;;;;alta
AL;BRANQUINHA;municipio;114.0;;;;;;alta
AL;BARRA DE SANTO ANTONIO;municipio;;218533.0;;4639.0;;;alta
AL;.JAPARATINGA;municipio;;90953.0;;2259.0;;;alta
AL;MARAGOGI;municipio;;360563.0;;7545.0;;;alta
AL;MATRIZ DE CAMARAGIBE;municipio;;626771.0;;11818.0;;;alta
AL;PASSO DE CAMARAGIBE;municipio;;386912.0;;9201.0;;;alta
AL;PORTO CALVO;municipio;;664045.0;;14572.0;;;alta
AL;PORTO DE PEDRAS;municipio;;282674.0;;6636.0;;;alta
AL;SÃO MIGUEL DOS MILAGRES;municipio;;26200.0;;447.0;;;alta
AL;TABULEIROS DE S MIGUEL DOS CAMPOS;microrregiao;1598.0;7711929.0;28465.0;;;;alta
AL;BARRA DE SÃO MIGUEL;municipio;;186889.0;;2678.0;;;alta
AL;BOCA DA MATA;municipio;285.0;873013.0;12775.0;;;;alta
AL;CAMPO ALEGRE;municipio;;1147298.0;;17946.0;;;alta
AL;CORURIPE;municipio;;3017534.0;;52859.0;;;alta
AL;ROTEIRO;municipio;;427860.0;;7756.0;;;alta
AL;SÂO MIGUEL DOS CAMPOS;municipio;;2059335.0;;34449.0;;;alta
AL;COQUEIRO SECO;municipio;;17195.0;;401.0;;;alta
AL;MARECHAL DEODORO;municipio;;755863.0;;12741.0;;;alta
AL;PILAR;municipio;;763002.0;;13137.0;;;alta
AL;RIO LARGO;municipio;68.0;638724.0;15149.0;;;;alta
AL;SANTA LUZIA;municipio;;22000.0;;458.0;;;alta
AL;SATUBA;municipio;;66663.0;;1276.0;;;alta
AL;TOTAIS;total;;39178.0;154833.0;1286.0;668.0;1355.0;alta
AL;SERTÃO E AGRESTE ALAGOANO;microrregiao;;38218.0;152804.0;945.0;413.0;1220.0;alta
