_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;val_8;val_9;val_10;val_11;confianca
AM;ENVIRA;municipio;;;;2.0;2.0;;;2.0;3.0;1580.0;;baixa
AM;IPIXUNA;municipio;;;;;;;;;11.0;3224.0;;baixa
AM;ITAMARATI;municipio;;;;;;;;;;1250.0;;baixa
AM;JURUA;municipio;;;;;;;;;;844.0;;baixa
AM;PURUS;microrregiao;96.0;25.0;28.0;71.0;74.0;16.0;24.0;49.0;51.0;10701.0;;baixa
AM;BOCA DO ACRE;municipio;83.0;18.0;20.0;66.0;69.0;14.0;17.0;39.0;41.0;722.0;;baixa
AM;CANUTAMA;municipio;;;;;;;;;;171.0;;baixa
AM;LABREA;municipio;;;;;;;;;;4810.0;;baixa
AM;PAUINI;municipio;;;;;;;3.0;;;103.0;;baixa
AM;TAPAUA;municipio;;;;;;;;10.0;10.0;2895.0;;baixa
AM;MADEIRA;microrregiao;34.0;22.0;23.0;18.0;21.0;;;;;917.0;;baixa
AM;BORBA;municipio;2.0;;;;2.0;;;;;2605.0;;baixa
AM;HUMAITA;municipio;15.0;;;10.0;13.0;;4.0;;;905.0;;baixa
AM;MANICORE;municipio;;5.0;;;;;;;;550.0;;baixa
AM;NOVO ARIPUANÃ;municipio;8.0;7.0;;;;;;;;1857.0;;baixa
AM;RIO NEGRO;microrregiao;20.0;;11.0;13.0;13.0;;;3.0;3.0;5645.0;;baixa
AM;BARCELOS;municipio;;;;;;;;;;1789.0;;baixa
AM;NOVO AIRÃO;municipio;2.0;;;;1.0;;;;;410.0;;baixa
AM;SANTA ISABEL DO RIO NEGRO;municipio;3.0;;;2.0;2.0;;;;;600.0;;baixa
AM;SÃO GABRIEL DA CACHOEIRA;municipio;15.0;;;10.0;10.0;;;;3.0;746.0;;baixa
AM;SOLIMÕES-JAPURA;microrregiao;6.0;;;;;;2.0;3.0;3.0;12173.0;;baixa
AM;ALVARÃES;municipio;;;;;;;;;;804.0;;baixa
AM;ANAMÂ;municipio;;;;;;;;;;796.0;;baixa
AM;ANORI;municipio;;;;;;;;;;1085.0;;baixa
AM;COAR(;municipio;4.0;;;;;;;;;873.0;;baixa
AM;COOAJAS;municipio;;;;;;;;;;2193.0;;baixa
AM;JAPURA;municipio;;;;;;;;;;434.0;;baixa
AM;MARAÃ;municipio;;;;;;;;;;2147.0;;baixa
AM;TEFE;municipio;;;;;1.0;;;;;1186.0;;baixa
AM;UARINI;municipio;;;;;;;;;;185.0;;baixa
AM;MEOIO AMAZONAS;microrregiao;;;441.0;161.0;329.0;;410.0;;57.0;89.0;;baixa
AM;AUTAZES;municipio;;;;;;;;;;;;baixa
AM;BARREIRINHA;municipio;;;;;;;;;;;;baixa
AM;BERURI;municipio;;;;;;;;;;;;baixa
AM;BOA VISTA;municipio;777947.0;;;;;;;;;;;baixa
AM;CAAPIRANGA;municipio;;;;;;;;;;;;baixa
AM;CAREIR,O;municipio;;;25.0;14.0;14.0;;17.0;;;;;baixa
AM;IRANOUBA;municipio;;;66.0;22.0;58.0;;77.0;;;;;baixa
AM;IT ACOA TI ARA;municipio;;;55.0;16.0;41.0;;44.0;;;;;baixa
AM;ITAPIRANGA;municipio;;;;;;;;;;;;baixa
AM;MANACAPURU;municipio;10.0;10.0;10.0;11.0;17552647.0;;;;;;;baixa
AM;MANAQUIRI;municipio;;;;;;;;;;;;baixa
AM;MAUES;municipio;;;22.0;;15.0;;18.0;;;7.0;;baixa
AM;NHAMUNDA;municipio;;;;;;;;;;;;baixa
AM;NOVA OLINDA;municipio;19832768.0;;;;;;;;;;;baixa
AM;PARINTINS;municipio;;;43.0;;42.0;;43.0;;;;;baixa
AM;PRESIDENTE FIGUEIREDO;municipio;10.0;2030.0;;;;;;;;;;baixa
AM;RIO PRETO DA EVA;municipio;60.0;21.0;25.0;51.0;63.0;24.0;32.0;127240.0;;;;baixa
AM;SÃO SEBASTIÃO DO UATUMÃ;municipio;716998.0;;;;;;;;;;;baixa
AM;SILVES;municipio;;;;;;;;;;;;baixa
AM;URUCARA;municipio;;;;;;;;;;;;baixa
AM;URUCURITUBA;municipio;;;;;;;;;;;;baixa
AM;CAMIONETAS, PERUAS, JIPES, ETC;municipio;;;;;;;;;;;;baixa
AP;TOTAIS;total;145.0;39.0;63.0;109.0;137.0;11.0;13.0;1374.0;1890.0;;;alta
AP;AMAPA;mesorregiao;145.0;39.0;63.0;109.0;137.0;11.0;13.0;1374.0;1890.0;;;alta
AP;MACAPA;microrregiao;130.0;30.0;52.0;103.0;131.0;;10.0;961.0;1255.0;;;alta
AP;MACAPA;municipio;121.0;24.0;45.0;99.0;127.0;;10.0;421.0;509.0;;;alta
AP;MAZAGÃO;municipio;;;;;;;;540.0;746.0;;;alta
AP;AMAPA E OIAPOQUE;microrregiao;15.0;;11.0;;;;;413.0;635.0;;;alta
AP;AMAPA;municipio;11.0;;10.0;;;;3.0;356.0;563.0;;;alta
AP;CALÇOENE;municipio;;;;;;;;56.0;71.0;;;alta
AP;OIAPOQUE;municipio;;;;;;;;;;;;alta
AP;CAMIONETAS, PERUAS, JIPES, ETC;municipio;;;;;;;;;;;;alta
BA;TOTAIS;total;65716.0;4987.0;5896.0;14470.0;15870.0;5555.0;7063.0;58704.0;6270.0;7222.0;;baixa
BA;OESTE BAIANO;mesorregiao;50714.0;1575.0;839.0;5541.0;6012.0;2730.0;3250.0;44977.0;5036.0;5462.0;;baixa
BA;CHAPADÕES DO ALTO RIO GRANDE;microrregiao;3699.0;254.0;313.0;626.0;747.0;320.0;429.0;3392.0;20.0;24.0;;baixa
BA;ANGICAL;municipio;122.0;;;30.0;32.0;;;105.0;;;;baixa
BA;BAIANOPOLIS;municipio;309.0;16.0;17.0;;;;;277.0;;;;baixa
BA;BARREIRAS;municipio;439.0;81.0;88.0;216.0;258.0;95.0;109.0;418.0;;11.0;;baixa
BA;BREJOLANDIA;municipio;386.0;;;;;;;355.0;;;;baixa
BA;CATOL ANDIA;municipio;135.0;;;16.0;17.0;;;127.0;;;;baixa
BA;COTEGIPE;municipio;379.0;23.0;27.0;96.0;106.0;24.0;27.0;331.0;4.0;;;baixa
BA;CRISTOPOLIS;municipio;498.0;;;;;;;453.0;;;;baixa
BA;FORMOSA;municipio;113.0;30.0;57.0;98.0;124.0;41.0;91.0;108.0;;;;baixa
BA;RIACHÃO DAS NEVES;municipio;235.0;;;27.0;30.0;30.0;32.0;210.0;;;;baixa
BA;SANTA RITA DE CASSIA;municipio;512.0;14.0;18.0;41.0;60.0;42.0;56.0;474.0;;;;baixa
BA;SÃO DESIDERIO;municipio;173.0;66.0;80.0;81.0;95.0;63.0;86.0;141.0;;;;baixa
BA;TABOCAS DO BREJO VELHO;municipio;398.0;;;;;;;393.0;;;;baixa
BA;CHAPADÕES DO RIO CORRENTE;microrregiao;4890.0;95.0;128.0;388.0;431.0;62.0;72.0;4325.0;54.0;64.0;;baixa
BA;CANAPOLIS;municipio;359.0;;;;10.0;;;281.0;;;;baixa
BA;cocos;municipio;617.0;21.0;26.0;36.0;42.0;;;547.0;;;;baixa
BA;CORIBE;municipio;729.0;10.0;;112.0;120.0;;;655.0;16.0;17.0;;baixa
