_uf;_label;_level;estab_total;area_ha_total;estab_individual;area_ha_individual;estab_soc_condominio;area_ha_soc_condominio;confianca
PR;CIDADE GAUCHA;microrregiao;37570.0;339.0;27066.0;51.0;10500.0;;media
PR;CRUZEIRO DO OESTE;microrregiao;319.0;1603.0;73065.0;1343.0;56263.0;248.0;media
PR;DOURADINA;microrregiao;320.0;1103.0;40773.0;803.0;30443.0;285.0;media
PR;FRANCISCO ALVES;microrregiao;321.0;458.0;28400.0;1278.0;25428.0;174.0;media
PR;GUAPOREMA;microrregiao;322.0;277.0;19406.0;229.0;16283.0;47.0;media
PR;ICARAIMA;microrregiao;323.0;1622.0;63252.0;1414.0;50213.0;198.0;media
PR;INOIANOPOLIS;microrregiao;324.0;910.0;21070.0;707.0;11868.0;195.0;media
PR;IPORÂ;microrregiao;325.0;3008.0;91690.0;557.0;69413.0;424.0;media
PR;JAPURA;microrregiao;326.0;767.0;15207.0;535.0;9596.0;230.0;media
PR;JUSSARA;microrregiao;327.0;523.0;;;;;media
PR;MARIA HELENA;microrregiao;328.0;1204.0;47184.0;1020.0;39172.0;177.0;media
PR;NOVA OLIMPIA;microrregiao;329.0;383.0;13493.0;327.0;2492.0;56.0;media
PR;PEROLA;microrregiao;330.0;2436.0;36673.0;2005.0;29855.0;422.0;media
PR;RONOON;microrregiao;331.0;899.0;50759.0;632.0;34512.0;238.0;media
PR;SÃO .JORGE DO PATROCINIO;microrregiao;332.0;411.0;17481.0;1060.0;12554.0;347.0;media
PR;SÃO TOME;microrregiao;333.0;525.0;387.0;10625.0;135.0;3294.0;media
PR;TAPEJARA;microrregiao;334.0;842.0;60497.0;691.0;48106.0;144.0;media
PR;TAP IRA;microrregiao;335.0;1537.0;42213.0;1347.0;37656.0;131.0;media
PR;TERRA BOA;microrregiao;336.0;958.0;30632.0;755.0;14812.0;196.0;media
PR;TUNEIRAS DO OESTE;microrregiao;337.0;706.0;58647.0;1513.0;51417.0;159.0;media
PR;UMUARAMA;microrregiao;338.0;5644.0;265168.0;4807.0;215574.0;722.0;media
PR;XAMBRE;microrregiao;339.0;481.0;35188.0;1377.0;29327.0;101.0;media
PR;POR COTAS DE RESPON- COOPERATIVA ENTIDADE PUBLICA SEM DECLARACÃO DE;mesorregiao;;;;;;;media
PR;SABILIDADE LIMITADA ORDEM;mesorregiao;;;;;;;media
RJ;TOTAIS;total;1280.0;2494264.0;3264150.0;77875.0;5704.0;305757.0;alta
RJ;NORTE FLUMINENSE;microrregiao;34269.0;991419.0;1235279.0;31054.0;2412.0;93485.0;alta
RJ;ITAPERUNA;municipio;5255.0;24074.0;274760.0;4884.0;339.0;27844.0;alta
RJ;MIRACEMA;municipio;6864.0;147471.0;167923.0;6285.0;524.0;17579.0;alta
RJ;AÇUCAREIRA DE CAMPOS;municipio;22150.0;603206.0;792595.0;19885.0;1549.0;48061.0;alta
RJ;CENTRO-LESTE -LUMINENSE;microrregiao;27388.0;730274.0;958828.0;24398.0;1605.0;91425.0;alta
RJ;CANTAGALO;municipio;5686.0;164838.0;5332.0;268.0;18566.0;;alta
RJ;CORDEIRO;municipio;4765.0;187882.0;219737.0;4132.0;452.0;26399.0;alta
RJ;SERRANA FLUMINENSE;municipio;7166.0;116684.0;181635.0;6731.0;267.0;10157.0;alta
RJ;BACIAS DO SÃO JOÃO E MACACU;municipio;4784.0;192232.0;252832.0;4373.0;226.0;23130.0;alta
RJ;o SILVA .JARDIM;mesorregiao;1305.0;64753.0;87373.0;1208.0;34.0;22.0;alta
RJ;CABO FRIO;microrregiao;;3830.0;68636.0;392.0;;;alta
RJ;ARARUAMA;municipio;;1414.0;27718.0;170.0;;;alta
RJ;CABO FRIO;municipio;;265.0;10822.0;13.0;;;alta
RJ;SÃO PEDRO DA ALDEIA;municipio;;495.0;15328.0;166.0;;;alta
RJ;SAOUAREMA;municipio;;1656.0;14767.0;43.0;;;alta
RJ;PERIFERIA DO GRANDE RIO;mesorregiao;;5346.0;325046.0;697.0;;;alta
RJ;TRES RIOS;microrregiao;;1721.0;135687.0;97.0;;;alta
RJ;PARAIBA DO SUL;municipio;;546.0;42918.0;29.0;;;alta
RJ;SAPUCAIA;municipio;;726.0;55063.0;32.0;;;alta
RJ;TRES RIOS;municipio;;449.0;37706.0;36.0;;;alta
RJ;VASSOURAS E;microrregiao;;2100.0;145759.0;251.0;;;alta
RJ;ENGENHEIRO PAULO DE FRONTIN;municipio;;218.0;5182.0;21.0;;;alta
RJ;MENDES;municipio;;37.0;1626.0;;;;alta
RJ;MIGUEL PEREIRA;municipio;;116.0;10599.0;11.0;;;alta
RJ;PIRAI;municipio;;345.0;33122.0;29.0;;;alta
RJ;RIO CLARO;municipio;;576.0;50962.0;64.0;;;alta
RJ;VASSOURAS;municipio;;808.0;44266.0;118.0;;;alta
RJ;BAIA DA ILHA GRANDE;microrregiao;;1525.0;43598.0;349.0;;;alta
RJ;ANGRA DOS REIS;municipio;;488.0;16346.0;322.0;;;alta
RJ;PARATI;municipio;;1037.0;27251.0;27.0;;;alta
RJ;VALE DO PARAIBA FLUMINENSE;mesorregiao;;3230.0;294085.0;220.0;;;alta
RJ;VALE DO PARAIBA FLUMINENSE;microrregiao;;3230.0;294085.0;220.0;;;alta
RJ;BARRA DO PIRAI;municipio;;480.0;40075.0;20.0;;;alta
RJ;BARRA MANSA;municipio;;506.0;52493.0;21.0;;;alta
RJ;RESENDE;municipio;;682.0;64330.0;69.0;;;alta
RJ;RIO DAS FLORES;municipio;;233.0;30710.0;30.0;;;alta
RJ;VALENÇA;municipio;;1239.0;101106.0;67.0;;;alta
RJ;VOLT A REDONDA;municipio;;90.0;5368.0;;;;alta
RJ;GRANDE RIO DE .JANEIRO;mesorregiao;;13847.0;153439.0;770.0;;;alta
RJ;FLUMINENSE DO GRANDE RIO;microrregiao;;11307.0;139454.0;530.0;;;alta
RJ;OUOUE DE CAXIAS;municipio;;922.0;6246.0;24.0;;;alta
RJ;ITABORAI;municipio;;4228.0;34490.0;132.0;;;alta
RJ;ITAGUAI;municipio;;1642.0;28587.0;95.0;;;alta
RJ;MAGE;municipio;;1322.0;21809.0;43.0;;;alta
RJ;MANGARATIBA;municipio;;217.0;13366.0;59.0;;;alta
RJ;MARICA;municipio;;963.0;12375.0;87.0;;;alta
RJ;NILOPOLIS;municipio;;11.0;;;;;alta
RJ;NITEROI;municipio;;94.0;598.0;;;;alta
RJ;NOVA IGUAÇU;municipio;;1117.0;10242.0;44.0;;;alta
RJ;PARACAMBI;municipio;;379.0;8885.0;;;;alta
RJ;SÃO GONÇALO;municipio;;371.0;2112.0;34.0;;;alta
RJ;SÃO .JOÃO DE MERITI;municipio;;41.0;11.0;;;;alta
RO;TOTAIS;total;80615.0;6032647.0;68233.0;4490310.0;611.0;340824.0;alta
RO;PORTO VELHO;mesorregiao;15245.0;1550802.0;8559.0;842661.0;81.0;18986.0;alta
RO;PORTO VELHO;microrregiao;15245.0;1550802.0;8559.0;81.0;18986.0;;alta
RO;COSTA MARQUES;municipio;4509.0;383470.0;4328.0;348367.0;51.0;9208.0;alta
RO;GUAJARA-MIRIM;municipio;1721.0;279331.0;838.0;165683.0;;3261.0;alta
RO;PORTO VELHO;municipio;9015.0;888001.0;3393.0;326611.0;26.0;6516.0;alta
RO;LESTE DE RONDONIA;mesorregiao;65370.0;4481844.0;59674.0;3647649.0;530.0;321838.0;alta
RO;JI-PARANA;microrregiao;52520.0;2853036.0;47030.0;2480152.0;432.0;131154.0;alta
RO;ARIQUEMES;municipio;10598.0;915402.0;7187.0;712534.0;125.0;36656.0;alta
RO;CACOAL;municipio;6069.0;310007.0;7929.0;301555.0;95.0;5804.0;alta
RO;JARU;municipio;403052.0;5492.0;318837.0;28.0;70177.0;;alta
RO;Jl-PARANA;municipio;5294.0;240498.0;4663.0;218865.0;27.0;6987.0;alta
RO;OURO PRETO DO OESTE;municipio;9175.0;409621.0;8511.0;387041.0;63.0;3328.0;alta
RO;PRESIDENTE MEOICI;municipio;7235.0;272199.0;7022.0;245499.0;18.0;3412.0;alta
RO;ROL IM DE MOURA;municipio;349.0;302254.0;226.0;295818.0;76.0;4787.0;alta
RO;VILHENA;microrregiao;6063.0;1103442.0;974.0;857041.0;43.0;65174.0;alta
RO;ESPIGÃO O' OESTE;municipio;1837.0;235854.0;1819.0;211368.0;10.0;20824.0;alta
RO;PIMENTA BUENO;municipio;3646.0;433718.0;3618.0;426122.0;;3031.0;alta
RO;VILHENA;municipio;580.0;433868.0;537.0;219550.0;27.0;41317.0;alta
RO;COLORADO DO OESTE;microrregiao;6787.0;525365.0;670.0;310455.0;55.0;125509.0;alta
RO;CEREJE;municipio;1158.0;249958.0;1116.0;75172.0;34.0;116461.0;alta
RO;COLORADO DO OESTE;municipio;5629.0;275407.0;5554.0;235283.0;21.0;9047.0;alta
RR;TOTAIS;total;6389.0;2149.0;537.0;3614.0;1679058.0;18900.0;alta
RR;RORAIMA;mesorregiao;6389.0;2149.0;537.0;3614.0;1679.0;18900.0;alta
RR;RORAIMA;microrregiao;6389.0;2149.0;537.0;3614.0;1679.0;18900.0;alta
RR;AL TO ALEGRE;municipio;671.0;230.0;556.0;518.0;195.0;;alta
