_uf;_label;_level;estab_total;area_ha_total;inform_lav_permanente;area_ha_lav_permanente;inform_lav_temporaria;area_ha_lav_temporaria;inform_lav_temp_descanso;confianca
BA;CRISTOPOLIS;microrregiao;1570.0;64298.0;225.0;144.0;1448.0;2813.0;415.0;baixa
BA;FORMOSA;microrregiao;1622.0;1102702.0;453.0;744.0;1506.0;47276.0;595.0;baixa
BA;RIACHÂO DAS NEVES;microrregiao;2242.0;253661.0;60.0;104.0;2137.0;13233.0;292.0;baixa
BA;SANTA RITA DE CASSIA;microrregiao;3534.0;459202.0;737.0;682.0;3428.0;13714.0;1676.0;baixa
BA;SÂO DESIDERIO;microrregiao;3123.0;751577.0;286.0;1010.0;3029.0;42176.0;872.0;baixa
BA;TABOCAS DO BREJO VELHO;microrregiao;2182.0;69532.0;75.0;248.0;1939.0;3847.0;573.0;baixa
BA;CHAPADÕES DO RIO CORRENTE;microrregiao;18907.0;1772865.0;966.0;5111.0;16828.0;65279.0;4853.0;baixa
BA;CANAPOLIS;microrregiao;1530.0;38894.0;31.0;30.0;1325.0;3512.0;431.0;baixa
BA;cocos;microrregiao;1970.0;319990.0;121.0;4106.0;1728.0;6525.0;815.0;baixa
BA;CORIBE;microrregiao;2224.0;274962.0;148.0;192.0;1980.0;10379.0;406.0;baixa
BA;CORRENT I NA;microrregiao;3947.0;605110.0;225.0;391.0;3598.0;14125.0;967.0;baixa
BA;SANTA MARIA DA VITORIA;microrregiao;3368.0;205408.0;151.0;210.0;3179.0;17131.0;1259.0;baixa
BA;SANTANA;microrregiao;2985.0;171523.0;255.0;152.0;2566.0;6341.0;281.0;baixa
BA;SERRA DOURADA;microrregiao;2883.0;156976.0;35.0;27.0;2450.0;7263.0;694.0;baixa
BA;BAIXO-MEDI O SÃO FRANCISCO;microrregiao;39076.0;2023955.0;1838.0;1897.0;37697.0;162689.0;8726.0;baixa
BA;BARRA;microrregiao;7527.0;570855.0;896.0;638.0;7270.0;34263.0;1843.0;baixa
BA;CAMPO ALEGRE DE LOURDES;microrregiao;3659.0;464466.0;170.0;39.0;3631.0;22485.0;1651.0;baixa
BA;CASA NOVA;microrregiao;6896.0;91668.0;54.0;178.0;6672.0;24570.0;804.0;baixa
BA;IBOTIRAMA;microrregiao;1523.0;135345.0;240.0;81.0;1396.0;4811.0;183.0;baixa
BA;MORPARA;microrregiao;982.0;74837.0;;;930.0;4511.0;344.0;baixa
BA;PI LÂO ARCADO;microrregiao;5474.0;53643.0;138.0;47.0;5372.0;13721.0;1520.0;baixa
BA;REMANSO;microrregiao;3960.0;142330.0;56.0;102.0;3842.0;13328.0;783.0;baixa
BA;SENTO SE;microrregiao;5025.0;90662.0;192.0;362.0;4711.0;15681.0;1496.0;baixa
