_uf;_label;_level;inform_bens;valor_bens_mil_cr;inform_investimentos;valor_investimentos_mil_cr;inform_financiamentos;valor_financiamentos_mil_cr;confianca
AM;EIRUNEPE;municipio;623.0;23617.0;229.0;613.0;;93.0;media
AM;ENVIRA;municipio;2792.0;21504.0;190.0;1214.0;;;media
AM;IPIXUNA;municipio;4591.0;35570.0;512.0;874.0;;35.0;media
AM;ITAMARATI;municipio;1309.0;25856.0;299.0;975.0;;50.0;media
AM;.JURUA;municipio;852.0;11046.0;121.0;418.0;;;media
AM;PURUS;microrregiao;14705.0;814999.0;1209.0;137795.0;53.0;1855.0;media
AM;BOCA DO ACRE;municipio;3005.0;348702.0;69.0;7612.0;38.0;1529.0;media
AM;CANUTAMA;municipio;2175.0;31186.0;89.0;285.0;;32.0;media
AM;LABREA;municipio;4982.0;375.0;325.0;755.0;;31.0;media
AM;PAUINI;municipio;1277.0;264575.0;29.0;128780.0;;250.0;media
AM;TAFIAUA;municipio;3266.0;96159.0;77.0;361.0;;13.0;media
AM;MADEIRA;microrregiao;12849.0;344158.0;1516.0;6231.0;436.0;17955.0;media
AM;BORBA;municipio;2971.0;47445.0;106.0;558.0;;;media
AM;HUMAITA;municipio;2588.0;105358.0;126.0;703.0;287.0;2029.0;media
AM;MANICORE;municipio;550.0;90319.0;128.0;816.0;133.0;15283.0;media
AM;NOVO AR l PUANÃ;municipio;2736.0;101033.0;1156.0;4152.0;15.0;634.0;media
AM;RIO NEGRO;microrregiao;6519.0;150779.0;43.0;756.0;69.0;328.0;media
AM;BARCELOS;municipio;1852.0;37424.0;22.0;39.0;;;media
AM;NOVO AtRÃO;municipio;55.0;23447.0;3.0;64.0;;115.0;media
AM;SANTA ISABEL DO RIO NEGRO;municipio;714.0;6514.0;;2.0;36.0;55.0;media
AM;SÃO GABRIEL DA CACHOEIRA;municipio;3498.0;83392.0;17.0;650.0;27.0;156.0;media
AM;SOLIMÕES-.JAPURA;microrregiao;15866.0;335072.0;2877.0;12296.0;78.0;2828.0;media
AM;ALVARÃES;municipio;780.0;15796.0;339.0;475.0;35.0;36.0;media
AM;ANAMÃ;municipio;810.0;15363.0;;64.0;;;media
AM;ANORI;municipio;1124.0;15008.0;38.0;179.0;;200.0;media
AM;COAR(;municipio;5273.0;96170.0;;3.0;;710.0;media
AM;CODA JAS;municipio;2080505.0;40247.0;19.0;89.0;;50.0;media
AM;.JAPURA;municipio;;829.0;172.0;323.0;;80.0;media
AM;MARAÃ;municipio;2328.0;84727.0;1978.0;8719.0;;;media
AM;TEFE;municipio;1622.0;8321.0;216.0;2377.0;30.0;1750.0;media
AM;UARINI;municipio;940.0;12203.0;105.0;63.0;;;media
AM;MEDI O AMAZONAS;microrregiao;40519.0;2897879.0;9065.0;81028.0;718.0;34370.0;media
AM;AUTAZES;municipio;1963.0;198186.0;4.0;1916.0;38.0;1306.0;media
AM;BARREIRINHA;municipio;42.0;114981.0;581.0;2883.0;22.0;356.0;media
AM;BERURI;municipio;876.0;26416.0;107.0;1427.0;35.0;523.0;media
AM;BOA VISTA DO RAMOS;municipio;877.0;38347.0;457.0;594.0;125.0;441.0;media
AM;CAAP I RANGA;municipio;501.0;8543.0;;53.0;26.0;168.0;media
AM;CAREIRO;municipio;3953.0;312519.0;660.0;11551.0;29.0;6440.0;media
AM;IRANOUBA;municipio;1872.0;229665.0;229.0;4134.0;35.0;3302.0;media
AM;ITACOATIARA;municipio;2758.0;193890.0;1722.0;7751.0;27.0;2567.0;media
AM;JTAPIRANGA;municipio;269.0;15341.0;259.0;566.0;16.0;74.0;media
AM;MANACAPURU;municipio;4393.0;167676.0;552.0;6526.0;48.0;1775.0;media
AM;MANAOUIRI;municipio;1302.0;63312.0;347.0;798.0;;;media
AM;MAUES;municipio;3198.0;210418.0;630.0;3433.0;34.0;1541.0;media
AM;NHAMUNDA;municipio;3031.0;118751.0;111.0;671.0;;;media
AM;NOVA OL(NDA DO NORTE;municipio;2188.0;69322.0;62.0;638.0;;120.0;media
AM;PARINTINS;municipio;5344.0;265340.0;1000.0;6065.0;143.0;1649.0;media
AM;PRESIDENTE FIGUEIREDO;municipio;322.0;52287.0;177.0;2189.0;;354.0;media
AM;RIO PRETO DA 'EVA;municipio;397.0;218928.0;142.0;11310.0;40.0;9397.0;media
AM;SÃO SEBASTIÃO DO UATUMÃ;municipio;752.0;37060.0;211.0;421.0;;21.0;media
AM;SILVES;municipio;812.0;52172.0;354.0;780.0;16.0;42.0;media
AM;URUCARA;municipio;976.0;78998.0;166.0;1163.0;20.0;509.0;media
AM;URUCURITUBA;municipio;1383.0;58214.0;553.0;690.0;13.0;67.0;media
AP;TOTAIS;total;4816.0;889148.0;1340.0;95018.0;40.0;8575.0;alta
AP;AMAPA;mesorregiao;816.0;889148.0;1340.0;95018.0;40.0;8575.0;alta
AP;MACAPA;microrregiao;3667.0;692202.0;1161.0;87737.0;30.0;7993.0;alta
AP;MACAPA;municipio;2497.0;603217.0;733.0;85485.0;28.0;7913.0;alta
AP;MAZAGÃO;municipio;1170.0;88984.0;428.0;2252.0;;80.0;alta
AP;AMAPA E OIAPOQUE;microrregiao;1149.0;196946.0;179.0;7280.0;10.0;582.0;alta
AP;AMAPA;municipio;633.0;163247.0;113.0;6697.0;;462.0;alta
AP;CALÇOENE;municipio;217.0;27124.0;31.0;397.0;;120.0;alta
AP;OIAPOQUE;municipio;299.0;6573.0;35.0;185.0;;;alta
BA;TOTAIS;total;738961.0;196865929.0;287096.0;3336489.0;61257.0;1090980.0;baixa
BA;OESTE BAIANO;mesorregiao;300262.0;32317623.0;110846.0;868482.0;32687.0;530200.0;baixa
BA;CHAPADÕES DO ALTO RIO GRANDE;mesorregiao;6359324.0;8742.0;185127.0;2425.0;192739.0;;baixa
BA;ANGICAL;microrregiao;1942.0;391186.0;870.0;7289.0;170.0;1971.0;baixa
BA;BAIANOPOLIS;microrregiao;1321.0;161566.0;673.0;3011.0;124.0;977.0;baixa
BA;BARREIRAS;microrregiao;;1113645.0;672.0;28250.0;;50283.0;baixa
BA;BREJOLANDIA;microrregiao;1692.0;396191.0;833.0;8824.0;173.0;1275.0;baixa
BA;CATOLANDIA;microrregiao;661.0;67150.0;188.0;1619.0;94.0;1243.0;baixa
BA;COTEGIPE;microrregiao;1916.0;1320165.0;918.0;25281.0;130.0;6239.0;baixa
BA;CRISTOPOLIS;microrregiao;1570.0;152044.0;624.0;769.0;82.0;484.0;baixa
BA;FORMOSA;microrregiao;1622.0;1229868.0;449.0;56218.0;222.0;75455.0;baixa
BA;RIACHÃO DAS NEVES;microrregiao;242.0;505262.0;405.0;8233.0;395.0;291.0;baixa
BA;SANTA RITA DE CASSIA;microrregiao;534.0;343293.0;1525.0;12485.0;230.0;10762.0;baixa
BA;SÃO DESIDERIO;microrregiao;123.0;559533.0;642.0;29302.0;391.0;37981.0;baixa
BA;TABOCAS DO BREJO VELHO;microrregiao;2182.0;119415.0;943.0;2840.0;56.0;771.0;baixa
BA;CHAPADÕES DO RIO CORRENTE;microrregiao;18907.0;3249014.0;9139.0;;19.0;45717.0;baixa
BA;CANAPOLIS;microrregiao;1530.0;127725.0;614.0;487.0;141.0;771.0;baixa
BA;cocos;microrregiao;970.0;332227.0;588.0;5773.0;176.0;3399.0;baixa
