_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;val_8;confianca
AL;CORURIPE;municipio;;107.0;;10.0;40.0;35.0;39.0;;media
AL;ROTEIRO;municipio;;20.0;;;10.0;;11.0;;media
AL;SÃO MIGUEL DOS CAMPOS;municipio;;66.0;;31.0;46.0;33.0;63.0;;media
AL;COQUEIRO SECO;municipio;;;;;;;4.0;;media
AM;TOTAIS;total;7136.0;101.0;7079.0;1786.0;1711.0;1115.0;103.0;;baixa
AM;HILEIA AMAZONENSE;mesorregiao;765.0;21.0;746.0;;122.0;;151.0;;baixa
AM;ALTO SOLIMÕES;microrregiao;113.0;;112.0;;;;26.0;;baixa
AM;AMATURA;municipio;;;;;;;;;baixa
AM;ATALAIA DO NORTE;municipio;41.0;;41.0;;21.0;;;;baixa
AM;BENJAMIN CONSTANT;municipio;32.0;;32.0;;16.0;;15.0;;baixa
AM;FONTE BOA;municipio;10.0;;10.0;;;;;;baixa
AM;JUTA(;municipio;;;3.0;;;;;;baixa
AM;SANTO ANTONIO DO IÇA;municipio;11.0;;11.0;;;;;;baixa
AM;SÃO PAULO DE OLIVENÇA;municipio;5.0;;5.0;;;;;;baixa
AM;TABATINOA;municipio;3.0;;3.0;;;;;;baixa
AM;TONANTINS;municipio;;;7.0;;;;2.0;;baixa
AM;JURUA;microrregiao;53.0;;;;;;14.0;;baixa
AM;CARAUARI;municipio;;;;;2.0;;2.0;;baixa
AM;EIRUNEPE;municipio;19.0;;17.0;;;;11.0;;baixa
AM;ENVIRA;municipio;10.0;;;;3.0;;;;baixa
AM;IPIXUNA;municipio;;2.0;12.0;;3.0;;;;baixa
AM;ITAMARATI;municipio;;;;;;;;;baixa
AM;PURUS;microrregiao;129.0;;125.0;;11.0;;61.0;;baixa
AM;aOCA DO ACRE;municipio;99.0;;;;;;80.0;;baixa
AM;CANUTAMA;municipio;;;;;;;;;baixa
AM;LAllRIA;municipio;;;;;;;;;baixa
