_uf;_label;_level;estab_total;inform_forca_total;inform_animal;inform_mecanica;inform_propria;inform_alugada;inform_outra_sem_decl;confianca
AM;SANTA ISABEL DO RIO NEORO;municipio;714.0;;;;;;8.0;baixa
AM;SÃO GABRIEL;municipio;8.0;;;;;;3.0;baixa
AM;SOLIMÕES-JAPURA;microrregiao;15910.0;34.0;;26.0;;;28.0;baixa
AM;ANAMÃ;municipio;810.0;;;;;;;baixa
AM;ANORI;municipio;1124.0;;;;;;;baixa
AM;COARI;municipio;273.0;;;;;;;baixa
AM;CODAJAS;municipio;2849.0;;;;;;;baixa
AM;JAPURA;municipio;484.0;1.0;;;;;;baixa
AM;MARAÃ;municipio;2328.0;3.0;2.0;1.0;2.0;;;baixa
AM;TEFE;municipio;1122.0;27.0;3.0;25.0;3.0;;25.0;baixa
AM;UARINI;municipio;140.0;;;;;;;baixa
AM;MEDIO AMAZONAS;microrregiao;941.0;98.0;266.0;67.0;671.0;;;baixa
AM;AUTAZES;municipio;;963.0;;26.0;;;15.0;baixa
AM;BARREIRINHA;municipio;2.0;;;;;;;baixa
AM;BERURI;municipio;;876.0;;168.0;;;;baixa
AM;BOA VISTA DO RAMOS;municipio;877.0;2.0;;;;;;baixa
AM;CAAPIRANGA;municipio;;501.0;;27.0;;;;baixa
AM;CAREIRO;municipio;;3953.0;;23.0;;;;baixa
AM;IRANDUBA;municipio;;1872.0;;18.0;;;;baixa
AM;ITACOATIARA;municipio;;2758.0;;126.0;;;;baixa
AM;ITAPIRANGA;municipio;;269.0;;21.0;;;;baixa
AM;MANACAPURU;municipio;;4393.0;;65.0;;;;baixa
AM;MANAOUIRI;municipio;;1302.0;;;;;;baixa
AM;MAUES;municipio;;3198.0;;10.0;;;;baixa
AM;NHAMUNDA;municipio;;3031.0;;;;;;baixa
AM;NOVA OLINDA DO NORTE;municipio;2308.0;;;;;;;baixa
AM;PARINTINS;municipio;;5344.0;;25.0;;;10.0;baixa
AM;PRESIDENTE FIGUEIREDO;municipio;322.0;12.0;3.0;2.0;6.0;;;baixa
AM;RIO PRETO DA EVA;municipio;397.0;55.0;19.0;42.0;18.0;;;baixa
