_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;confianca
BA;CANAPOL IS;municipio;82.0;;350.0;25.0;25.0;baixa
BA;cocos;municipio;65.0;;354.0;23.0;23.0;baixa
BA;CORIBE;municipio;176.0;;944.0;88.0;81.0;baixa
BA;CORRENT l NA;municipio;100.0;;792.0;46.0;46.0;baixa
BA;SANTA MARIA DA VITORIA;municipio;135.0;;1014.0;34.0;32.0;baixa
BA;SANTANA;municipio;222.0;;803.0;28.0;28.0;baixa
BA;SERRA DOURADA;municipio;52.0;;259.0;12.0;12.0;baixa
BA;BAIXO-MEDI O SÂO FRANCISCO;microrregiao;2575.0;;10209.0;1758.0;1680.0;baixa
BA;BARRA;municipio;580.0;;3262.0;497.0;484.0;baixa
BA;CAMPO ALEGRE OE LOURDES;municipio;295.0;;937.0;326.0;309.0;baixa
BA;CASA NOVA;municipio;298.0;;824.0;89.0;88.0;baixa
BA;IBOTIRAMA;municipio;52.0;;172.0;27.0;23.0;baixa
BA;MORPARA;municipio;227.0;;396.0;136.0;125.0;baixa
BA;REMANSO;municipio;363.0;;644.0;13.0;13.0;baixa
BA;SENTO SE;municipio;233.0;;993.0;383.0;365.0;baixa
BA;XIOUE-XIOUE;municipio;359.0;;1266.0;237.0;223.0;baixa
BA;MEOIO SÃO FRANCISCO;microrregiao;2033.0;;10418.0;2568.0;2367.0;baixa
BA;BOM JESUS DA LAPA;municipio;841.0;;3324.0;376.0;366.0;baixa
BA;CAR I NHANHA;municipio;599.0;;2499.0;112.0;108.0;baixa
BA;MALHADA;municipio;528.0;;4205.0;2030.0;843.0;baixa
BA;PARAT I NGA;municipio;65.0;;390.0;50.0;50.0;baixa
BA;CHAPADA DIAMANTINA SETENTRIONAL;microrregiao;5814.0;;26225.0;5627.0;5505.0;baixa
BA;BARRA QO MENDES;municipio;114.0;;319.0;36.0;36.0;baixa
BA;CAFARNAUM;municipio;936.0;;;;;baixa
BA;CANARANA;municipio;331.0;;234.0;412.0;405.0;baixa
BA;CENTRAL;municipio;216.0;;734.0;35.0;35.0;baixa
BA;GENTIO DO OURO;municipio;202.0;;763.0;112.0;112.0;baixa
BA;IBIPEBA;municipio;114.0;;411.0;67.0;61.0;baixa
BA;IBITITA;municipio;305.0;;1382.0;417.0;417.0;baixa
BA;IRECE;municipio;1351.0;;8298.0;1543.0;1522.0;baixa
BA;JUS SARA;municipio;205.0;;684.0;133.0;115.0;baixa
BA;ABAIRA;municipio;5243.0;;2763.0;2019.0;1699.0;baixa
BA;AGUA OUENTE;municipio;5480.0;;3027.0;1944.0;1563.0;baixa
BA;ANDARAI;municipio;11224.0;;5279.0;4532.0;3453.0;baixa
BA;BARRA DA ESTIVA;municipio;8679.0;;4105.0;3823.0;3274.0;baixa
