_uf;_label;_level;estab_total;num_pessoas_total;estab_menos_5;num_pessoas_menos_5;estab_5_a_10;num_pessoas_5_a_10;confianca
AM;RIO NEGRO;municipio;519.0;29081.0;3726.0;9486.0;2491.0;16149.0;baixa
AM;SOLIMÕES-JAPURA;municipio;15910.0;78124.0;21756.0;6572.0;42506.0;;baixa
AM;AUTAZES;microrregiao;;599.0;;1947.0;1108.0;7423.0;baixa
AM;BARREIRINHA;municipio;;1030.0;;2861.0;859.0;571.0;baixa
AM;BERURI;municipio;;353.0;;100.0;493.0;308.0;baixa
AM;BOA VISTA DO RAMOS;municipio;877.0;5330.0;173.0;3173.0;;;baixa
AM;CAAPIRANGA;municipio;501.0;2070.0;136.0;211.0;1224.0;;baixa
AM;CAREIRO;municipio;;2007.0;;5237.0;1513.0;10076.0;baixa
AM;IRANDUBA;municipio;;1090.0;;2637.0;679.0;377.0;baixa
AM;ITACOATIARA;municipio;2758.0;12283.0;669.0;863.0;5643.0;;baixa
AM;ITAPIRANGA;municipio;;113.0;;470.0;103.0;632.0;baixa
AM;MANACAPURU;municipio;;3117.0;;7810.0;1199.0;7390.0;baixa
AM;MANAOUIRI;municipio;1302.0;6924.0;1596.0;616.0;111.0;;baixa
AM;MANMIS;municipio;1310.0;6500.0;2019.0;2564.0;;;baixa
AM;MAUES;municipio;198.0;174110.0;37.0;1466.0;455.0;;baixa
AM;NHAMUNDA;municipio;;1.0;;383.0;1350.0;694.0;baixa
AM;NOVA OLINDA DO NORTE;municipio;;1113.0;;320.0;665.0;920.0;baixa
AM;PARINTINS;municipio;5300.0;27937.0;7952.0;2076.0;13600.0;;baixa
AM;BA PRESIDENTE FIGUEIREDO;microrregiao;322.0;1295.0;523.0;81.0;513.0;;baixa
AM;IB RIO PRETO DA EVA;microrregiao;397.0;2204.0;711.0;89.0;546.0;;baixa
AM;SÃO SEBASTIÃO DO UATUMÃ;municipio;;429.0;;1259.0;270.0;1859.0;baixa
AM;SILVES;municipio;;;;;;;baixa
AM;UAUCARA;municipio;;479.0;;1262.0;360.0;2350.0;baixa
AM;UAUCURITUBA;municipio;;;;2345.0;422.0;2664.0;baixa
AP;TOTAIS;total;4816.0;21449.0;3133.0;7939.0;1373.0;8722.0;alta
AP;AMAPA;mesorregiao;4816.0;21449.0;3133.0;7939.0;1373.0;8722.0;alta
AP;MACAPA;microrregiao;3667.0;16832.0;2349.0;6018.0;1064.0;6779.0;alta
AP;MACAPA;municipio;2497.0;9747.0;1921.0;4839.0;500.0;3025.0;alta
AP;MAZAGÃO;municipio;1170.0;7085.0;428.0;1179.0;564.0;3754.0;alta
AP;AMAPA E OIAPOQUE;microrregiao;1149.0;4617.0;784.0;1921.0;309.0;1943.0;alta
AP;AMAPA;municipio;633.0;2582.0;426.0;1033.0;176.0;1109.0;alta
AP;CALÇOENE;municipio;217.0;609.0;189.0;441.0;27.0;158.0;alta
AP;OIAPOQUE;municipio;299.0;1426.0;169.0;447.0;106.0;676.0;alta
BA;TOTAIS;total;739006.0;3202553.0;499300.0;1154054.0;187968.0;1199164.0;baixa
BA;OESTE BAIANO;microrregiao;300262.0;1255751.0;202031.0;474145.0;80364.0;510738.0;baixa
BA;CHAPADÕES DO ALTO RIO GRANDE;microrregiao;23844.0;13026.0;14937.0;35928.0;6924.0;44356.0;baixa
BA;ANGICAL;municipio;1942.0;8865.0;1281.0;3283.0;511.0;3263.0;baixa
BA;BAIANOPOLIS;municipio;321.0;5026.0;964.0;2449.0;327.0;992.0;baixa
BA;BARREIRAS;municipio;2039.0;10653.0;1136.0;2874.0;679.0;4410.0;baixa
BA;BREJOLANOIA;municipio;1692.0;7781.0;916.0;1932.0;633.0;4162.0;baixa
BA;CATOLANOIA;municipio;661.0;2967.0;371.0;829.0;243.0;1592.0;baixa
BA;COTEGIPE;municipio;916.0;15689.0;639.0;1694.0;790.0;5241.0;baixa
BA;CRISTOPOLIS;municipio;570.0;4906.0;1247.0;2849.0;301.0;823.0;baixa
BA;FORMOSA DO RIO PRETO;municipio;1622.0;9554.0;906.0;2272.0;533.0;3452.0;baixa
BA;RIACHÃO DAS NEVES;municipio;2242.0;9543.0;1480.0;3749.0;666.0;4179.0;baixa
