_uf;_label;_level;estab_proprietario;area_ha_proprietario;estab_arrendatario;area_ha_arrendatario;estab_parceiro;area_ha_parceiro;estab_ocupante;area_ha_ocupante;confianca
AM;ITAMARATI;microrregiao;;15467.0;887.0;766.0;19621.0;404.0;;;baixa
AM;JURUA;microrregiao;;292.0;75.0;335.0;81.0;711.0;;;baixa
AM;PURUS;microrregiao;4018.0;;1239.0;133454.0;19737.0;198.0;;;baixa
AM;BOCA DO ACRE;microrregiao;693.0;304958.0;132.0;23585.0;8826.0;2173.0;;;baixa
AM;CANUTAMA;microrregiao;831.0;12001.0;511.0;8857.0;4126.0;898.0;;;baixa
AM;LABREA;microrregiao;2006.0;64362.0;305.0;12216.0;390.0;642.0;;;baixa
AM;PAUINI;microrregiao;125.0;12322.0;1.0;300.0;962.0;1142.0;;;baixa
AM;TAPAUA;microrregiao;393.0;56273.0;290.0;88485.0;3433.0;543.0;;;baixa
AM;MADEIRA;microrregiao;8387.0;810396.0;2079.0;62827.0;2780.0;365.0;;;baixa
AM;BORBA;microrregiao;2740.0;242809.0;;61.0;52.0;224.0;;;baixa
AM;HUMAITA;microrregiao;1333.0;142777.0;1027.0;37422.0;7.0;221.0;;;baixa
AM;MANICORE;microrregiao;2325.0;122088.0;1047.0;25344.0;59.0;1174.0;;;baixa
AM;NOVO ARIPUANÃ;microrregiao;1989.0;302721.0;;;2.0;746.0;;;baixa
AM;RIO NEGRO;microrregiao;807.0;53408.0;330.0;225.0;13.0;5375.0;;;baixa
AM;BARCELOS;microrregiao;88.0;3239.0;330.0;4225.0;;1434.0;;;baixa
AM;NOVO AIRÃO;microrregiao;203.0;39008961.0;;;;252.0;;;baixa
AM;SANTA ISABEL DO RIO NEGRO;microrregiao;398.0;1.0;;;;312.0;;;baixa
AM;SÃO ClAllRIEL DA CACHOEIRA;microrregiao;118.0;8361.0;;;;3377.0;;;baixa
AM;SOLIMÕES-JAPURA;microrregiao;213.0;770679.0;194.0;35966.0;564.0;8477.0;;;baixa
AM;ALVARÃES;microrregiao;71.0;10383.0;;;10.0;708.0;;;baixa
AM;/ANAMÃ;microrregiao;767.0;7368.0;10.0;643.0;;;;;baixa
AM;ANORI;microrregiao;664.0;20767.0;;31.0;;455.0;;;baixa
AM;COAR(;microrregiao;3396.0;168836.0;19.0;1363.0;5125.0;839.0;;;baixa
AM;CODAJAS;microrregiao;1400.0;116306.0;138.0;30177.0;406.0;1009.0;;;baixa
AM;JAPURA;microrregiao;141.0;4857.0;;20.0;;342.0;;;baixa
AM;MARAÃ;microrregiao;376.0;5469.0;;;;1952.0;;;baixa
AM;TEFE;microrregiao;312.0;431954.0;;;3.0;1309.0;;;baixa
AM;UARINI;microrregiao;86.0;4736.0;;;15.0;153.0;;;baixa
AM;MEDIO AMAZONAS;microrregiao;33085.0;1859035.0;357.0;7534.0;2634.0;7057.0;;;baixa
AM;AUTAZES;municipio;1536.0;;166199.0;;;;;;baixa
AM;BARREI R;municipio;1098.0;;42601.0;;;;;;baixa
AM;BERURI;municipio;389.0;;202559.0;;;;;;baixa
AM;BOA VISTA DO RAMOS;municipio;866.0;;28808.0;;;;;;baixa
AM;CAAP I RANGA;municipio;303.0;;7721.0;;;;;;baixa
