_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;confianca
BA;TABOCAS DO BREJO VELHO;microrregiao;2068.0;797.0;329.0;;;;;media
BA;CHAPADÕES;microrregiao;;10721.0;5581.0;;;32.0;;media
BA;CANAPOLIS;microrregiao;1652.0;516.0;242.0;;;;;media
BA;cocos;microrregiao;3141.0;739.0;327.0;;;;;media
BA;CORIBE;microrregiao;1671.0;1005.0;842.0;;;;;media
BA;CORRENT I NA;microrregiao;4671.0;1290.0;602.0;15.0;;;;media
BA;SANTA MARIA DA VITORIA;microrregiao;7606.0;2234.0;1303.0;;;10.0;;media
BA;SANTANA;microrregiao;6387.0;1993.0;960.0;;;;;media
BA;SERRA DOURADA;microrregiao;7042.0;2942.0;1302.0;;;;;media
BA;BAIXO-MEDIO SÂO FRANCISCO;microrregiao;28908.0;11084.0;6136.0;;;53507.0;1910.0;media
BA;BARRA;microrregiao;4757.0;2213.0;1336.0;;;1583.0;82.0;media
BA;CAMPO ALEGRE DE LOUROES;microrregiao;2373.0;819.0;246.0;;;1372.0;67.0;media
BA;CASA NOVA;microrregiao;2717.0;1014.0;445.0;;;34196.0;1002.0;media
BA;IBOTIRAMA;microrregiao;2550.0;1676.0;1280.0;;;30.0;;media
BA;MORPARA;microrregiao;2558.0;959.0;519.0;;;;;media
BA;PILÃO ARCADO;microrregiao;2398.0;628.0;175.0;;;1509.0;100.0;media
BA;REMANSO;microrregiao;4486.0;1102.0;461.0;;;13364.0;547.0;media
BA;SENTO SE;microrregiao;2767.0;1110.0;673.0;;;1356.0;98.0;media
BA;XIQUE-XIQUE;microrregiao;4302.0;1559.0;996.0;;;93.0;;media
BA;MEOIO SÂO FRANCISCO;microrregiao;26792.0;12189.0;6412.0;;;506.0;14.0;media
BA;BOM .JESUS DA LAPA;microrregiao;9600.0;4948.0;2772.0;;;429.0;11.0;media
BA;CARINHANHA;microrregiao;8048.0;3133.0;1.0;;;;;media
BA;MALHADA;microrregiao;6404.0;3026.0;1489.0;;;35.0;;media
BA;PARATINGA;microrregiao;2740.0;1081.0;542.0;;;41.0;;media
BA;CHAPADA DIAMANTINA SETENTRIONAL;microrregiao;26929.0;13349.0;6673.0;;;1508.0;149.0;media
BA;BARRA;microrregiao;1768.0;799.0;333.0;;;34.0;;media
BA;CAFARNAUM;microrregiao;13.0;556.0;325.0;;;253.0;19.0;media
BA;CANARANA;microrregiao;6.0;920.0;520.0;;;254.0;35.0;media
BA;CENTRAL;microrregiao;459.0;299.0;196.0;;;159.0;24.0;media
BA;GENTIO DO OURO;microrregiao;1356.0;308.0;103.0;;;;;media
BA;IBIPEBA;microrregiao;1243.0;837.0;524.0;;;24.0;;media
BA;IBITITA;microrregiao;857.0;457.0;214.0;;;;;media
BA;IRECE;microrregiao;10493.0;393.0;2147.0;;;442.0;32.0;media
BA;JUSSARA;microrregiao;272.0;127.0;79.0;;;147.0;12.0;media
BA;ABAIRA;municipio;;928.0;273.0;39.0;;;;media
BA;AGUA QUENTE;municipio;;830.0;376.0;104.0;;;;media
BA;ANDARA(;municipio;;3309.0;548.0;739.0;19.0;;;media
BA;BARRA DA ESTIVA;municipio;652.0;292.0;139.0;28.0;;;;media
BA;BONINAL;municipio;;1737.0;852.0;186.0;;;;media
BA;BOQUIRA;municipio;;2324.0;870.0;193.0;;;;media
BA;BOTUPORÃ;municipio;;5316.0;2040.0;153.0;;;;media
BA;BROTAS OE MACAUBAS;municipio;;2660.0;850.0;194.0;131.0;;;media
BA;CONTENDAS DO SINCORA;municipio;843.0;245.0;70.0;;;;;media
BA;(BICOARA;municipio;;465.0;149.0;38.0;;;;media
BA;(BIPITANGA;municipio;;2579.0;873.0;110.0;181.0;;;media
BA;IBITIARA;municipio;;6663.0;3652.0;697.0;;;;media
BA;IPUF'IARA;municipio;;1378.0;418.0;97.0;;;;media
BA;IRAMAIA;municipio;;2133.0;1058.0;579.0;28.0;;;media
BA;IRAOUARA;municipio;153.0;450.0;184.0;;;;;media
BA;ITAETE;municipio;;2200.0;142.0;524.0;;;;media
BA;ITUAÇU;municipio;;1896.0;941.0;336.0;104.0;;;media
BA;.JUSSIAF'E;municipio;;2207.0;981.0;185.0;;;;media
BA;LENÇO IS;municipio;;67.0;31.0;13.0;;;;media
BA;MACAUBAS;municipio;;5093.0;1988.0;506.0;18.0;;;media
BA;MUCUGE;municipio;;754.0;404.0;113.0;;;;media
BA;OLIVEIRA DOS BREJINHOS;municipio;4863.0;690.0;458.0;763.0;50.0;;;media
BA;F'ALMEIRAS;municipio;;927.0;387.0;191.0;;;;media
BA;F'ARAMIRIM;municipio;;4165.0;2485.0;970.0;;;;media
BA;PIATÂ;municipio;;2646.0;975.0;377.0;16.0;;;media
BA;RIO DE CONTAS;municipio;;2862.0;1322.0;218.0;;;;media
BA;RIO DO PIRES;municipio;;2084.0;852.0;134.0;;;;media
BA;SEABRA;municipio;;2669.0;1250.0;510.0;;;;media
BA;TANHAÇU;municipio;;3125.0;1504.0;705.0;356.0;;;media
BA;UTINGA;municipio;;1036.0;392.0;179.0;;;;media
BA;WAGNER;municipio;;862.0;443.0;310.0;;;;media
BA;SERRA GERAL DA BAHIA;microrregiao;81791.0;36939.0;14158.0;10.0;520.0;;;media
BA;ARACATU;municipio;;3142.0;878.0;173.0;104.0;;;media
BA;BRUMADO;municipio;;5184.0;2308.0;102.0;91.0;;;media
BA;CACULE;municipio;;2566.0;451.0;763.0;;;;media
BA;CAETITE;municipio;;8203.0;4232.0;1403.0;;;;media
BA;CANDIBA;municipio;;2551.0;1346.0;565.0;;;;media
BA;CONOEUBA;municipio;;3847.0;178.0;246.0;;;;media
BA;CORDEIROS;municipio;;937.0;416.0;108.0;17.0;;;media
BA;DOM BASILIO;municipio;;330.0;853.0;329.0;;;;media
BA;GUANAMBI;municipio;;7804.0;3929.0;2032.0;;;;media
BA;IBIASSUCE;municipio;;1886.0;750.0;197.0;;;;media
BA;IGAPORÂ;municipio;;2023.0;35.0;335.0;;;;media
BA;.JACARACI;municipio;;2846.0;1404.0;418.0;;;;media
BA;LICINIO DE ALMEIDA;municipio;2498.0;951.0;319.0;;;;;media
BA;LIVRAMENTO DO BRUMAOO;municipio;4884.0;3017.0;831.0;43.0;;;;media
BA;MALHADA DE PEDRAS;municipio;595.0;477.0;157.0;;;;;media
BA;MORTUGABA;municipio;;1722.0;907.0;309.0;;;;media
BA;F'ALMAS DE MONTE ALTO;municipio;4725.0;1727.0;753.0;37.0;;;;media
BA;PINDAI;municipio;;2709.0;1272.0;566.0;16.0;;;media
BA;PIRIPA;municipio;;961.0;279.0;54.0;27.0;;;media
BA;PRESIDENTE JANIO QUADROS;municipio;1991.0;454.0;75.0;;;;;media
BA;MESORREGIÔES, MI CRORREGIÕES;microrregiao;;;;;;;;media
BA;RIACHO DE SANTANA;microrregiao;8255.0;4051.0;2008.0;;29.0;;;media
BA;RIO DO ANTONIO;microrregiao;1678.0;767.0;225.0;;;;;media
BA;SEBASTIÃO LARANJEIRAS;microrregiao;1353.0;577.0;252.0;;;;;media
BA;TREMEDAL;microrregiao;4185.0;1557.0;577.0;;101.0;;;media
BA;URANO(;microrregiao;2916.0;1110.0;347.0;;13.0;;;media
BA;SENHOR DO BONFIM;mesorregiao;25612.0;13743.0;9757.0;;7279.0;;;media
BA;ANTONIO GONÇALVES;microrregiao;1497.0;1156.0;914.0;;;;;media
BA;CALDEIRÃO GRANDE;microrregiao;3192.0;2025.0;1340.0;;;;;media
BA;CAMPO FORMOSO;microrregiao;3414.0;1528.0;855.0;;1463.0;;;media
BA;JAGUARARI;microrregiao;2576.0;1117.0;730.0;;2945.0;;;media
BA;MIRANGABA;microrregiao;2085.0;962.0;680.0;;;;;media
BA;PINOOBAÇU;microrregiao;3990.0;2303.0;1723.0;;;;;media
BA;SAUDE;microrregiao;2389.0;1509.0;1331.0;;;;;media
BA;SENHOR DO BONFIM;microrregiao;6469.0;3139.0;2181.0;;2858.0;;;media
BA;CORREDEIRAS;mesorregiao;9330.0;3679.0;1748.0;;41197.0;;;media
BA;ABARE;microrregiao;550.0;159.0;32.0;;4174.0;;;media
BA;CHORROCHO;microrregiao;224.0;76.0;24.0;;525.0;;;media
BA;CURAÇA;microrregiao;2679.0;824.0;364.0;;15621.0;;;media
BA;JUAZEIRO;microrregiao;4940.0;2294.0;1190.0;;18804.0;;;media
BA;MACURURE;microrregiao;652.0;169.0;60.0;;2013.0;;;media
BA;RODELAS;microrregiao;285.0;154.0;76.0;;60.0;;;media
BA;LESTE BAIANO.-;mesorregiao;519869.0;349584.0;270117.0;836.0;30072.0;;;media
BA;PIEMONTE DA DIAMANTINA;microrregiao;85837.0;50006.0;36003.0;;686.0;;;media
BA;BAIXA GRANDE;microrregiao;4709.0;3898.0;2978.0;;;;;media
BA;BOA VISTA DO TUPIM;microrregiao;4395.0;2474.0;1808.0;;;;;media
BA;CAEM;microrregiao;2676.0;2351.0;1943.0;;;;;media
BA;IBIOUERA;microrregiao;3146.0;1024.0;696.0;;;;;media
BA;ITABERABA;microrregiao;6762.0;2854.0;1822.0;;82.0;;;media
BA;.JACOBINA;microrregiao;17120.0;11311.0;530.0;197.0;;;;media
BA;LAJEDINHO;microrregiao;2233.0;1014.0;560.0;;;;;media
BA;MACA JUBA;microrregiao;1608.0;784.0;547.0;;;;;media
BA;MAIRI;microrregiao;8067.0;4170.0;2604.0;;;;;media
BA;MIGUEL CALMON;microrregiao;6503.0;4456.0;3269.0;;23.0;;;media
BA;MUNDO NOVO;microrregiao;6715.0;3438.0;2676.0;;;;;media
BA;PIRITIBA;microrregiao;5560.0;3303.0;2682.0;;;;;media
BA;RUY BARBOSA e;microrregiao;4407.0;3102.0;15.0;;;;;media
BA;SERROLANDIA;microrregiao;;2.0;1502.0;;22.0;;;media
BA;TAPlRAMUTA;microrregiao;1041.0;651.0;406.0;;;;;media
BA;VARZEA DO POÇO;microrregiao;2763.0;1409.0;1021.0;;;;;media
BA;SERTÃO DE CANUDOS;microrregiao;35493.0;16626.0;7077.0;;25861.0;;;media
BA;CANSANÇÃO;microrregiao;2040.0;747.0;367.0;;;;;media
BA;EUCLI OES DA CUNHA;microrregiao;11562.0;5235.0;1292.0;;1071.0;;;media
BA;ITIUBA;microrregiao;4909.0;1876.0;786.0;;130.0;;;media
BA;MONTE SANTO;microrregiao;4014.0;1509.0;482.0;;2657.0;;;media
BA;QUEIMADAS;microrregiao;3392.0;2412.0;1941.0;;218.0;;;media
BA;QUIJINGUE;microrregiao;2164.0;938.0;347.0;;795.0;;;media
BA;TUCANO;microrregiao;4296.0;2593.0;1152.0;;384.0;;;media
BA;SERRINHA;microrregiao;63198.0;37686.0;26967.0;;1064.0;;;media
BA;ARACI;microrregiao;3795.0;2112.0;1136.0;;709.0;;;media
BA;AGUA FRIA;municipio;;727.0;389.0;240.0;;;;media
BA;ANGUERA;municipio;;782.0;514.0;342.0;;;;media
BA;ANTONIO CARDOSO;municipio;1341.0;837.0;611.0;;;;;media
BA;CASTRO ALVES;municipio;;4002.0;1896.0;1145.0;;;;media
BA;CORAÇÃO DE MARIA;municipio;1540.0;1238.0;861.0;10.0;;;;media
BA;ELISIO MEDRADO;municipio;;517.0;171.0;85.0;;;;media
BA;IAÇU;municipio;2089.0;607.0;263.0;;;;;media
BA;IPECAETA;municipio;879.0;313.0;;;;;;media
BA;IPIRA;municipio;;23947.0;14644.0;10714.0;;;;media
BA;IRARA;municipio;;1218.0;704.0;514.0;;;;media
BA;OUR I ÇANGAS;municipio;;472.0;281.0;148.0;;;;media
BA;PEORÃO;municipio;1388.0;1342.0;237.0;;;;;media
BA;SANTA BARBARA;municipio;;2902.0;2502.0;1958.0;;;;media
BA;SANTANOPOLIS;municipio;;1243.0;760.0;492.0;;;;media
BA;SANTA TERESINHA;municipio;959.0;321.0;127.0;20.0;;;;media
BA;SANTO ESTEVÂO;municipio;;2045.0;1169.0;739.0;;;;media
BA;SERRA PRETA;municipio;;4553.0;2660.0;1902.0;;;;media
BA;TANQUINHO;municipio;;2202.0;1413.0;1288.0;;;;media
BA;JEQUIE;microrregiao;36172.0;23151.0;36.0;36.0;1.0;;;media
BA;AIOUARA;municipio;;1200.0;850.0;619.0;;;;media
BA;AMARGOSA;municipio;;1899.0;2462.0;2159.0;;;;media
BA;BREJÕES;municipio;;94.0;33.0;21.0;;;;media
