_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;confianca
AM;SOLIMÕES- JAPURA;microrregiao;828.0;4284.0;643.0;155.0;1357.0;1503.0;media
AM;ALVARÃES;municipio;1183.0;647.0;40.0;;168.0;44.0;media
AM;ANAMÃ;municipio;78.0;11.0;;;;3.0;media
AM;ANORI;municipio;288.0;121.0;12.0;;42.0;33.0;media
AM;COAR(;municipio;1925.0;700.0;182.0;;516.0;252.0;media
AM;CODAJAS;municipio;281.0;;;;;;media
AM;'ZIAPURA;municipio;1634.0;718.0;257.0;21.0;153.0;185.0;media
AM;MARAÃ;municipio;2743.0;;52.0;113.0;321.0;827.0;media
AM;TEFE;municipio;1398.0;514.0;73.0;;130.0;145.0;media
AM;UARINI;municipio;408.0;129.0;22.0;;27.0;14.0;media
AM;MEDIO AMAZONAS;microrregiao;81273.0;41481.0;8657.0;93.0;16045.0;4468.0;media
AM;AUTAZES;municipio;11393.0;8713.0;2169.0;233.0;3361.0;610.0;media
AM;BARREIRINHA;municipio;1682.0;562.0;154.0;55.0;281.0;122.0;media
AP;TOTAIS;total;21016.0;14201.0;4104.0;530.0;2794.0;150.0;alta
AP;AMAPA;mesorregiao;21016.0;14201.0;4104.0;530.0;2794.0;1546.0;alta
AP;MACAPA;microrregiao;16844.0;11775.0;3606.0;380.0;2204.0;1457.0;alta
AP;MACAPA a;municipio;5832.0;1724.0;182.0;1413.0;756.0;;alta
AP;MAZAGÃO;municipio;8461.0;5943.0;1882.0;198.0;791.0;701.0;alta
AP;AMAPA E OIAPOQUE;microrregiao;172.0;2126.0;498.0;150.0;590.0;89.0;alta
AP;AMAPA;municipio;3138.0;1887.0;326.0;33.0;461.0;69.0;alta
AP;CALÇOENE;municipio;618.0;62.0;101.0;;105.0;13.0;alta
AP;OIAPOQUE;municipio;416.0;177.0;71.0;117.0;24.0;7.0;alta
BA;TOTAIS;total;511601.0;790034.0;184027.0;183682.0;369192.0;;media
BA;OESTE BAIANO;microrregiao;776898.0;418842.0;100274.0;;137835.0;;media
BA;CHAPADÕES DO ALTO RIO GRANDE;microrregiao;72235.0;33750.0;6729.0;6357.0;13124.0;;media
BA;ANGICAL;municipio;7055.0;3380.0;312.0;757.0;1647.0;;media
BA;BAIANOPOLIS;municipio;4784.0;2092.0;505.0;537.0;772.0;;media
BA;BARREIRAS;municipio;3735.0;1606.0;307.0;550.0;654.0;;media
BA;BRE JOLANOIA;municipio;4125.0;1571.0;324.0;325.0;528.0;;media
BA;CATOLANDIA;municipio;560.0;808.0;212.0;193.0;243.0;;media
